,ad_id,ad_platform,ad_type,target_gender,target_age_group,duration_days,total_budget,Purchase,imp,click,avg_ctr,avg_cvr,art,fashion,finance,fitness,food,gaming,health,lifestyle,news,photography,sports,technology,travel,pca_interest_1,pca_interest_2
0,184,Instagram,Image,Male,25-34,47,53936.41,0,1,0,0.11879321181646763,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4658959000949436,-0.3065136319886694
1,121,Facebook,Video,Male,35-44,89,52725.49,0,1,0,0.10676156583629894,0.06666666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.10768977224006424,-0.2027248844911741
2,90,Instagram,Stories,Male,35-44,57,48832.61,0,1,0,0.12002487562189054,0.03626943005181347,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.4139500650438331,0.10075945630171987
3,194,Facebook,Image,All,18-24,71,85220.35,0,1,0,0.10885167464114832,0.027472527472527472,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4115187643782842,-0.3362292098131785
4,33,Instagram,Carousel,Female,All,82,85407.23,0,1,0,0.10353535353535354,0.03048780487804878,0,0,0,0,0,0,0,0,0,1,0,0,0,0.040426057168117535,-0.06944194427100633
5,11,Facebook,Carousel,All,35-44,75,46445.2,0,1,0,0.10232843137254902,0.03592814371257485,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.3659281835259773,-0.41469560875180994
6,132,Facebook,Carousel,Female,18-24,59,24021.32,0,1,0,0.10609037328094302,0.037037037037037035,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.10768977224006424,-0.2027248844911741
7,147,Facebook,Carousel,All,35-44,36,71038.28,0,1,0,0.10819462227912932,0.05917159763313609,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5911876140867092,0.25829466175450444
8,14,Instagram,Image,Female,35-44,64,37290.81,0,1,0,0.1220715166461159,0.05555555555555555,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5922003597986945,0.3463892221085673
9,23,Facebook,Image,All,18-24,87,59264.68,0,1,0,0.09882643607164916,0.0375,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.10768977224006424,-0.2027248844911741
10,198,Facebook,Video,All,35-44,60,26104.3,0,1,0,0.1156289707750953,0.054945054945054944,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.11470630987940367,0.37883174653126706
11,13,Facebook,Stories,Female,All,84,78607.49,0,1,0,0.10696517412935323,0.0755813953488372,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.4381773766494094,0.5460919929213397
12,98,Facebook,Stories,Female,18-24,56,14343.25,0,1,1,0.10512982900569981,0.04216867469879518,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6822326444990008,0.5571828804358355
13,64,Facebook,Stories,Female,18-24,87,59264.68,0,1,1,0.09879518072289156,0.07317073170731707,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.10768977224006424,-0.2027248844911741
14,132,Facebook,Carousel,Female,18-24,59,24021.32,0,1,0,0.10609037328094302,0.037037037037037035,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.10768977224006424,-0.2027248844911741
15,25,Facebook,Video,Male,25-34,82,19773.66,0,1,1,0.10396039603960396,0.06547619047619048,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5841991694668023,-0.5060255157707046
16,108,Facebook,Carousel,Male,18-24,75,46445.2,0,1,0,0.10320956576463185,0.04878048780487805,0,0,0,0,0,0,0,0,0,1,0,0,0,0.040426057168117535,-0.06944194427100633
17,9,Instagram,Stories,All,35-44,85,28962.34,0,1,0,0.09873570138470801,0.042682926829268296,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.11470630987940367,0.37883174653126706
18,74,Instagram,Image,Female,18-24,87,86675.92,0,1,0,0.1099444101297097,0.028089887640449437,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5922003597986945,0.3463892221085673
19,112,Facebook,Video,All,35-44,82,85407.23,0,1,0,0.10876132930513595,0.027777777777777776,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0807441775070879,-0.0571286810062126
20,179,Instagram,Stories,All,35-44,48,68376.69,0,1,0,0.09848484848484848,0.08333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.026814981421996776,-0.1653131848255291
21,68,Facebook,Image,All,18-24,87,86675.92,0,1,0,0.11753494282083862,0.07027027027027027,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06467798862186311,0.27147511549962755
22,113,Instagram,Image,Female,18-24,82,85407.23,0,1,1,0.10644959298685035,0.01764705882352941,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5018356002857489,0.5764449511134121
23,37,Facebook,Carousel,All,35-44,89,94023.76,0,1,0,0.10137672090112641,0.05555555555555555,0,0,0,0,0,1,0,0,0,0,0,0,1,0.16766489064249945,-0.4964913618641537
24,126,Facebook,Carousel,All,25-34,36,71038.28,0,1,0,0.10351317440401506,0.06060606060606061,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.026814981421996776,-0.1653131848255291
25,14,Instagram,Image,Female,35-44,64,37290.81,0,1,0,0.1220715166461159,0.05555555555555555,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5922003597986945,0.3463892221085673
26,46,Instagram,Carousel,All,35-44,65,19669.27,0,1,0,0.09483870967741935,0.08163265306122448,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5841991694668023,-0.5060255157707046
27,8,Facebook,Carousel,All,25-34,73,21855.42,0,1,0,0.10901339829476249,0.0446927374301676,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09193622758143008,-0.22692498696373872
28,83,Facebook,Video,All,All,82,19773.66,0,1,0,0.11175337186897881,0.040229885057471264,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.3842481805643183,0.4379074891020232
