,ad_id,duration_days,total_budget,Purchase,imp,click,avg_ctr,avg_cvr,art,fashion,finance,fitness,food,gaming,health,lifestyle,news,photography,sports,technology,travel,pca_interest_1,pca_interest_2,ad_platform_Facebook,ad_platform_Instagram,ad_type_Carousel,ad_type_Image,ad_type_Stories,ad_type_Video,target_gender_All,target_gender_Female,target_gender_Male,target_age_group_18-24,target_age_group_25-34,target_age_group_35-44,target_age_group_All,cluster
0,184,47,53936.41,0,1,0,0.11879321181646763,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4658959000949436,-0.3065136319886694,0,1,0,1,0,0,0,0,1,0,1,0,0,3
1,121,89,52725.49,0,1,0,0.10676156583629894,0.06666666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.10768977224006424,-0.2027248844911741,1,0,0,0,0,1,0,0,1,0,0,1,0,5
2,90,57,48832.61,0,1,0,0.12002487562189054,0.03626943005181347,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.4139500650438331,0.10075945630171987,0,1,0,0,1,0,0,0,1,0,0,1,0,3
3,194,71,85220.35,0,1,0,0.10885167464114832,0.027472527472527472,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4115187643782842,-0.3362292098131785,1,0,0,1,0,0,1,0,0,1,0,0,0,2
4,33,82,85407.23,0,1,0,0.10353535353535354,0.03048780487804878,0,0,0,0,0,0,0,0,0,1,0,0,0,0.040426057168117535,-0.06944194427100633,0,1,1,0,0,0,0,1,0,0,0,0,1,2
5,11,75,46445.2,0,1,0,0.10232843137254902,0.03592814371257485,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.3659281835259773,-0.41469560875180994,1,0,1,0,0,0,1,0,0,0,0,1,0,0
6,132,59,24021.32,0,1,0,0.10609037328094302,0.037037037037037035,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.10768977224006424,-0.2027248844911741,1,0,1,0,0,0,0,1,0,1,0,0,0,0
7,147,36,71038.28,0,1,0,0.10819462227912932,0.05917159763313609,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5911876140867092,0.25829466175450444,1,0,1,0,0,0,1,0,0,0,0,1,0,1
8,14,64,37290.81,0,1,0,0.1220715166461159,0.05555555555555555,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5922003597986945,0.3463892221085673,0,1,0,1,0,0,0,1,0,0,0,1,0,3
9,23,87,59264.68,0,1,0,0.09882643607164916,0.0375,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.10768977224006424,-0.2027248844911741,1,0,0,1,0,0,1,0,0,1,0,0,0,2
